Beam angle,Couch angle,Collimator
298.0,10.999999999999943,0.0
315.0,0.0,0.0
307.0,39.0,0.0
170.0,0.0,0.0
323.0,55.99999999999994,0.0
206.99999999999997,338.0,0.0
214.0,63.0,0.0
211.0,280.0,0.0
238.0,36.0,0.0
149.0,280.0,0.0
229.0,317.99999999999994,0.0
72.0,32.0,0.0
47.0,332.0,0.0
214.0,297.0,0.0
211.0,80.0,0.0
Name,Minimise,Objective,Sufficient,Weight,Priority,IsConstraint
Isocentre,1.0,80.0,,1.0,0.0,True
PTV,1.0,75.0,,1.0,0.0,True
Stomach,1.0,21.0,,1.0,0.0,True
Spinal Cord,1.0,18.0,,1.0,0.0,True
Heart,1.0,30.0,,1.0,0.0,True
Oesophagus,1.0,21.0,,1.0,0.0,True
Duodenum,1.0,21.0,,1.0,0.0,True
Pancreas,1.0,21.0,,1.0,0.0,True
External Ring,1.0,21.0,,1.0,0.0,True
Liver minus CTV,1.0,0.5188946423187342,,1.0,0.0,True
Kidney (R),1.0,0.35,,1.0,0.0,True
Kidney (L),1.0,0.35,,1.0,0.0,True
PTV40%,0.0,0.0,,1.0,0.0,True
PTV80%,0.0,0.0,,1.0,0.0,True
PTV,0.0,0.0,,1.0,0.0,True
PTV,1.0,0.0,,1.0,0.0,True
Ring 1,1.0,0.0,,1.0,0.0,True
Patient,1.0,75.0,,1.0,0.0,True
Isocentre,0.0,75.0,75.0,0.1172248930206232,1.0,0.0
Liver minus CTV,1.0,5.0,,0.6742001984819304,2.0,0.0
Oesophagus,1.0,19.0,,0.004938161609086559,3.0,0.0
Duodenum,1.0,19.0,,0.009509323663585522,4.0,0.0
Stomach,1.0,19.0,,0.0023332138315468997,5.0,0.0
Pancreas,1.0,19.0,,0.0028135723521444662,6.0,0.0
Heart,1.0,27.0,,0.018405044657643727,7.0,0.0
Spinal Cord,1.0,17.0,,0.0025448330229154974,8.0,0.0
Oesophagus,1.0,5.0,,0.003613558924723121,9.0,0.0
Duodenum,1.0,5.0,,0.0019166746848816667,10.0,0.0
Stomach,1.0,5.0,,2.906743210342775e-10,11.0,0.0
Heart,1.0,5.0,,0.011567457253747908,12.0,0.0
Spinal Cord,1.0,5.0,,0.013249081432354001,13.0,0.0
Pancreas,1.0,5.0,,0.03458634172174973,14.0,0.0
Kidney (R),1.0,5.0,,0.04393295394927343,15.0,0.0
Kidney (L),1.0,5.0,,0.014508240333838162,16.0,0.0
Patient,1.0,100.0,,0.044656450769281535,17.0,0.0
Smoothing Linear,0.0,-750.0,,1.0,0.0,1.0
Smoothing Linear,1.0,750.0,,1.0,0.0,1.0
Sm2 beam 1,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 2,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 3,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 4,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 5,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 6,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 7,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 8,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 9,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 10,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 11,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 12,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 13,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 14,1.0,3375.0,,1.0,0.0,1.0
Sm2 beam 15,1.0,3375.0,,1.0,0.0,1.0
